# clang-format violation report
# clang-format version: clang-format version 21.1.6
# date: 2026-02-07T11:59:26Z
# config: /home/sean/code/ponylang/ponyc/.clang-format
#
# violations file
159 src/libponyc/type/reify.c
11 src/libponyc/type/reify.h
175 src/libponyc/type/safeto.c
1 src/libponyc/type/safeto.h
24 src/libponyc/type/sanitise.c
7 src/libponyc/type/sanitise.h
687 src/libponyc/type/subtype.c
11 src/libponyc/type/subtype.h
403 src/libponyc/type/typeparam.c
1 src/libponyc/type/typeparam.h
282 src/libponyc/type/viewpoint.c
3 src/libponyc/type/viewpoint.h
34 src/libponyc/verify/call.c
1 src/libponyc/verify/call.h
3 src/libponyc/verify/control.c
1 src/libponyc/verify/control.h
76 src/libponyc/verify/fun.c
1 src/libponyc/verify/fun.h
20 src/libponyc/verify/type.c
1 src/libponyc/verify/type.h
301 src/libponyrt/actor/actor.c
12 src/libponyrt/actor/actor.h
48 src/libponyrt/actor/messageq.c
22 src/libponyrt/actor/messageq.h
34 src/libponyrt/asio/asio.c
10 src/libponyrt/asio/asio.h
10 src/libponyrt/asio/emscripten.c
67 src/libponyrt/asio/epoll.c
8 src/libponyrt/asio/event.c
13 src/libponyrt/asio/event.h
122 src/libponyrt/asio/iocp.c
81 src/libponyrt/asio/kqueue.c
112 src/libponyrt/ds/fun.c
3 src/libponyrt/ds/fun.h
135 src/libponyrt/ds/hash.c
187 src/libponyrt/ds/hash.h
14 src/libponyrt/ds/list.c
156 src/libponyrt/ds/list.h
2 src/libponyrt/ds/stack.c
17 src/libponyrt/ds/stack.h
25 src/libponyrt/gc/actormap.c
6 src/libponyrt/gc/actormap.h
102 src/libponyrt/gc/cycle.c
2 src/libponyrt/gc/cycle.h
24 src/libponyrt/gc/delta.c
2 src/libponyrt/gc/delta.h
95 src/libponyrt/gc/gc.c
11 src/libponyrt/gc/gc.h
13 src/libponyrt/gc/objectmap.c
3 src/libponyrt/gc/objectmap.h
19 src/libponyrt/gc/serialise.c
8 src/libponyrt/gc/serialise.h
5 src/libponyrt/gc/trace.c
0 src/libponyrt/gc/trace.h
18 src/libponyrt/lang/directory.c
7 src/libponyrt/lang/errno.c
0 src/libponyrt/lang/errno.h
0 src/libponyrt/lang/io.c
51 src/libponyrt/lang/lsda.c
1 src/libponyrt/lang/lsda.h
1 src/libponyrt/lang/paths.c
43 src/libponyrt/lang/posix_except.c
141 src/libponyrt/lang/process.c
5 src/libponyrt/lang/process.h
2819 src/libponyrt/lang/socket.c
0 src/libponyrt/lang/socket.h
8 src/libponyrt/lang/ssl.c
8 src/libponyrt/lang/stat.c
329 src/libponyrt/lang/stdfd.c
41 src/libponyrt/lang/time.c
14 src/libponyrt/lang/win_except.c
5 src/libponyrt/mem/alloc.c
0 src/libponyrt/mem/alloc.h
178 src/libponyrt/mem/heap.c
27 src/libponyrt/mem/heap_chunk_sorting.h
21 src/libponyrt/mem/heap.h
64 src/libponyrt/mem/pagemap.c
1 src/libponyrt/mem/pagemap.h
133 src/libponyrt/mem/pool.c
57 src/libponyrt/mem/pool.h
5 src/libponyrt/mem/pool_memalign.c
26 src/libponyrt/options/options.c
112 src/libponyrt/options/options.h
35 src/libponyrt/platform/ponyassert.c
42 src/libponyrt/platform/threads.c
478 src/libponyrt/pony.h
72 src/libponyrt/sched/cpu.c
6 src/libponyrt/sched/cpu.h
6 src/libponyrt/sched/mpmcq.c
1 src/libponyrt/sched/mpmcq.h
11 src/libponyrt/sched/mutemap.c
1 src/libponyrt/sched/mutemap.h
423 src/libponyrt/sched/scheduler.c
16 src/libponyrt/sched/scheduler.h
